id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
63T7DJ1AFDD6Bn8VzG6JE8,0.0493,0.464,0.795,0.00244,0.399,-9.267,0.0926,158.691,0.612
2PzU4IB8Dr6mxV3lHuaG34,0.0383,0.723,0.863,0.0317,0.128,-7.89,0.0338,136.302,0.931
7HKez549fwJQDzx3zLjHKC,0.0436,0.631,0.932,0.137,0.0918,-4.142,0.0354,122.429,0.971
6H3kDe7CGoWYBabAeVWGiD,0.447,0.634,0.63,0.039,0.17,-8.277,0.031,118.628,0.489
1Ud6moTC0KyXMq1Oxfien0,0.518,0.702,0.668,0.0,0.0588,-9.237,0.214,116.063,0.561
77oU2rjC5XbjQfNe3bD6so,0.39,0.783,0.878,0.000778,0.0426,-3.864,0.0308,100.626,0.885
1GcVa4jFySlun4jLSuMhiq,0.67,0.429,0.554,0.000152,0.105,-6.128,0.0291,136.302,0.407
3hJLKtTpgct9Y9wKww0BiR,0.443,0.795,0.71,0.0215,0.344,-4.746,0.0392,109.689,0.845
52dm9op3rbfAkc1LGXgipW,0.687,0.432,0.389,0.0107,0.0788,-6.517,0.0255,139.506,0.158
6lFZbCc7pn6Lme1NP7qQqQ,0.64,0.32,0.62,6.36e-05,0.253,-9.686,0.0594,86.327,0.472
61UuPxxYUvacEH6SHIK3sU,0.219,0.633,0.934,0.00021,0.0592,-3.594,0.0344,128.606,0.963
5lmGgOaixbwKHtpTzjJoqx,0.299,0.732,0.494,0.205,0.0919,-13.571,0.0406,126.986,0.799
1hIQPCM3oWXrpnXmgTDaKG,0.408,0.545,0.757,0.045,0.16,-5.228,0.0396,152.217,0.714
4hupcimlg3UBbW1kAQ6vrT,0.831,0.524,0.553,0.0,0.174,-10.767,0.0292,104.578,0.517
4hq0S6wznq7SHDyMOFXL9i,0.5,0.615,0.91,0.511,0.281,-4.248,0.0347,111.013,0.77
4tXr9v3K7nWW1aebWqR1B7,0.00286,0.605,0.742,0.00105,0.256,-4.363,0.0327,105.04,0.47
4Wd9pEtEnZNDjgiswGOpJb,0.157,0.606,0.794,0.0406,0.568,-6.042,0.0282,116.93,0.911
3oJtUnnt5uYPtzulIbLw3D,0.33,0.54,0.862,1.7e-05,0.156,-4.599,0.0284,130.34,0.931
30V02AmDYMRvrHE4L8cZAo,0.178,0.578,0.429,6.01e-05,0.171,-9.601,0.0268,108.738,0.0889
1LD75COdR1n8jTIjommyS2,0.723,0.331,0.277,0.00263,0.181,-11.035,0.0295,112.78,0.366
1hJrWWK74fKL7eeV3CFOvF,0.502,0.477,0.74,1.31e-06,0.263,-5.397,0.0446,107.384,0.56
7EXgO1bRnEArE58rtrgMWB,0.1,0.583,0.855,0.0177,0.262,-7.213,0.0333,128.178,0.69
0QVJsWtmgj9SWZaLYiX2i3,0.222,0.617,0.459,0.0415,0.285,-9.292,0.0368,114.497,0.119
668YgsnvdNBHfRscNIBS31,0.501,0.616,0.957,0.0115,0.318,-3.966,0.0508,128.517,0.778
263Iuyk08ks1v6FIudUIGD,0.0289,0.579,0.877,0.571,0.0656,-8.83,0.0488,126.336,0.9
6l9gVPHFaUfigHEiWqSh45,0.4,0.756,0.843,0.0104,0.0654,-5.315,0.0476,139.51,0.841
5IATbFZds3cbOx8YxuMuko,0.111,0.678,0.621,0.0973,0.0394,-5.478,0.0623,113.389,0.776
3w7hnMNX4zVZeBJ6LisTjT,0.575,0.417,0.5,0.0883,0.102,-6.449,0.0263,130.531,0.241
1iii3DosaivkmvUDmhZhCP,0.522,0.365,0.839,0.000469,0.292,-5.148,0.0691,81.772,0.575
3Is1ugfPG3hdFWTq15nNBV,0.0169,0.53,0.855,0.238,0.0628,-5.116,0.0461,110.14,0.511
0f7VY69zhtS20Xm5PVYCm5,0.0646,0.439,0.827,0.374,0.0844,-4.593,0.0335,111.297,0.54
3T8dfE0azJUmXJA3QlmiZ5,0.892,0.444,0.454,0.0546,0.114,-7.434,0.0419,67.848,0.236
1QLr0zOu6fv5hLEHOwdr21,0.705,0.562,0.793,0.0,0.222,-7.774,0.0526,140.838,0.57
42o3gy9e8dzBHvQE991ad8,0.0639,0.485,0.943,0.179,0.144,-4.423,0.0416,141.982,0.889
44xykY61s1aKsgf40A5cyI,0.017,0.582,0.545,4.05e-06,0.229,-11.677,0.0298,101.691,0.721
0FfZBWDv7p63yj6oh2I2PS,0.415,0.738,0.952,2.2e-05,0.116,-2.752,0.147,140.395,0.748
1FRP8d6l2jm3DS5f78ZrhK,0.296,0.671,0.725,0.00022,0.0889,-10.065,0.065,85.27,0.956
