name,album,release_date,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,flagged_for_differences
Gimme Shelter,Let It Bleed,1969-12-05,6H3kDe7CGoWYBabAeVWGiD,0.447,0.634,0.63,0.039,0.17,-8.277,0.031,118.628,0.489,76,270773,True
You Can't Always Get What You Want,Let It Bleed,1969-12-05,6lFZbCc7pn6Lme1NP7qQqQ,0.64,0.32,0.62,6.36e-05,0.253,-9.686,0.0594,86.327,0.472,67,448720,True
Monkey Man,Let It Bleed,1969-12-05,5m6livL7ccIS92wq16n52r,0.507,0.406,0.768,0.0473,0.0825,-9.321,0.0374,99.855,0.55,50,251453,True
Let It Bleed,Let It Bleed,1969-12-05,06FcMPcosZg13x2QODDDK6,0.433,0.558,0.684,0.00293,0.226,-8.246,0.0288,116.232,0.867,50,327880,True
Midnight Rambler,Let It Bleed,1969-12-05,3tIvHt7VaIenprWXrYzgwb,0.772,0.403,0.658,3.96e-06,0.166,-10.285,0.118,75.488,0.512,48,412760,True
Love In Vain,Let It Bleed,1969-12-05,4GNEqWXhKEoMyL3k5wF0r7,0.278,0.371,0.482,0.00468,0.116,-11.795,0.0355,184.36,0.295,42,259106,True
You Got The Silver,Let It Bleed,1969-12-05,2pbHaKsIRuIqjZHCLpyQMv,0.756,0.471,0.371,0.0272,0.137,-11.123,0.0423,143.892,0.543,42,170373,True
Let's Spend The Night Together,Flowers,1967-06-26,2FkBzncOXWo7pnN8oqm7Wx,0.689,0.566,0.795,0.0,0.249,-7.755,0.0498,140.859,0.572,41,215760,True
Country Honk,Let It Bleed,1969-12-05,6zD3VBPn2VNDdmLEg0coPt,0.627,0.531,0.759,7.04e-06,0.351,-10.992,0.0521,120.96,0.888,40,187466,True
Live With Me,Let It Bleed,1969-12-05,31YMV7aMItO8jzyc10iRrS,0.00869,0.681,0.633,0.049,0.0848,-9.997,0.0352,129.591,0.954,39,213133,True
Baby Please Don't Go - Live,Live At The Checkerboard Lounge,2012-07-09,0qjCCEKR7Ct3hshyCES99R,0.108,0.357,0.876,0.00355,0.949,-6.596,0.11,155.178,0.617,37,660933,True
My Girl,Flowers,1967-06-26,47eWF81LJRr4jW3lO1FuYJ,0.679,0.589,0.567,0.175,0.335,-7.774,0.0342,110.531,0.731,36,158133,True
Out Of Time - Edit Version,Flowers,1967-06-26,3sMReRRurYwYGmxuj9e0G5,0.569,0.656,0.71,0.0,0.0794,-9.275,0.0982,125.869,0.667,34,221306,True
Connection,Between The Buttons,1967-01-20,2LBI6nQa32PRfRoH4Lrkod,0.16,0.663,0.689,4.71e-05,0.334,-11.904,0.0499,86.588,0.556,33,127760,True
Mother's Little Helper,Flowers,1967-06-26,7FmCuUt3Jw28qNvUa4acEz,0.0585,0.602,0.652,2.04e-05,0.317,-6.974,0.0281,101.083,0.685,32,166346,True
