name,album,release_date,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,flagged_for_differences,outlier_feature
Fool To Cry,Black And Blue,1976-04-23,2hjGkFzdskqu5936maFslX,0.939,0.464,0.338,0.16,0.111,-11.7,0.0437,70.131,0.296,28,303893,False,acousticness
100 Years Ago - Piano Demo,Goats Head Soup (Deluxe),2020-09-04,7mJffnVw9vwPj4bh42lN2l,0.935,0.554,0.413,0.000994,0.145,-7.8,0.0276,105.219,0.414,25,163013,False,acousticness
Key To The Highway - Piano Instrumental/Remastered 2009,Dirty Work (Remastered 2009),1986-03-24,3As7nxoMY2gOMxVdksIU2F,0.994,0.46,0.142,0.827,0.138,-24.408,0.173,154.259,0.444,16,33466,False,acousticness
Whoopi Goldberg Intro - Live,Voodoo Lounge Uncut (Live),2018-11-16,4Q1mpLGl94xstgXlhoaCh5,0.92,0.397,0.902,0.367,0.94,-12.418,0.624,98.356,0.0394,12,102748,False,acousticness
Key To The Highway - Piano Instrumental,Dirty Work,1986-03-24,5vaIQW6IAjNo5tUoZGTiKE,0.994,0.563,0.141,0.872,0.134,-24.351,0.099,101.793,0.458,12,33466,False,acousticness
It Hurts Me Too,Jamming With Edward,1972-01-07,5lgfWxatYUKXvQEE1oTGDE,0.673,0.462,0.261,0.629,0.126,-14.986,0.0545,168.166,0.405,35,314373,False,energy
Back Street Girl,Flowers,1967-06-26,7euYUzZ3UgQlm7BM6sll65,0.0182,0.527,0.248,0.0,0.0986,-12.781,0.027,77.397,0.515,28,206773,True,energy
Back Street Girl,Between The Buttons (UK Version),1967-01-20,2WRV9CuTU1v3FM3GqlQFtL,0.0193,0.417,0.25,0.0,0.0935,-12.772,0.0273,154.213,0.524,27,207040,False,energy
Key To The Highway - Piano Instrumental/Remastered 2009,Dirty Work (Remastered 2009),1986-03-24,3As7nxoMY2gOMxVdksIU2F,0.994,0.46,0.142,0.827,0.138,-24.408,0.173,154.259,0.444,16,33466,False,energy
Interlude A La El Hopo / Loveliest Night Of The Year,Jamming With Edward,1972-01-07,7hnehY2vACxvGRAarPmK1o,0.663,0.421,0.252,0.193,0.143,-21.548,0.0495,82.951,0.495,16,125982,False,energy
Key To The Highway - Piano Instrumental,Dirty Work,1986-03-24,5vaIQW6IAjNo5tUoZGTiKE,0.994,0.563,0.141,0.872,0.134,-24.351,0.099,101.793,0.458,12,33466,False,energy
Love In Vain - Live,Get Yer Ya Yas Out,1970-09-04,4eytHgouVLrqBncnaQqpVF,0.42,0.429,0.272,0.143,0.904,-16.572,0.0297,78.704,0.177,5,296466,False,energy
Back Street Girl,Between The Buttons,1967-01-20,2OyAGEMBuKEZCOJNYJoUzK,0.0189,0.412,0.242,0.0,0.0938,-12.927,0.0275,154.489,0.548,1,206973,False,energy
Tumbling Dice,Exile On Main Street (2010 Re-Mastered),1972-05-12,4hq0S6wznq7SHDyMOFXL9i,0.5,0.615,0.91,0.511,0.281,-4.248,0.0347,111.013,0.77,63,226333,False,instrumentalness
Get Off Of My Cloud - Mono Version,December’s Children (And Everybody’s),1965-12-04,263Iuyk08ks1v6FIudUIGD,0.0289,0.579,0.877,0.571,0.0656,-8.83,0.0488,126.336,0.9,55,175080,False,instrumentalness
The Last Time - Mono Version,Out Of Our Heads,1965-07-30,7foiOmd1Je7Z0D3TaZCDro,0.144,0.327,0.92,0.84,0.774,-5.223,0.0611,167.972,0.439,50,221493,False,instrumentalness
Happy,Exile On Main Street (Deluxe Version),1972-05-12,5fXRPS1tp70DbqsBZVyG4e,0.361,0.555,0.897,0.94,0.536,-3.469,0.0293,131.712,0.965,49,184626,False,instrumentalness
Rip This Joint,Exile On Main Street (2010 Re-Mastered),1972-05-12,0SojSZcka4j8l8Sl0W9jUZ,0.118,0.548,0.952,0.837,0.301,-2.958,0.0422,98.04,0.906,49,143293,False,instrumentalness
Sway - 2009 Mix,Sticky Fingers (Remastered),1971-04-23,1ZS5HBMAmZk3gjFcedts66,0.221,0.33,0.895,0.737,0.408,-3.435,0.0399,144.945,0.54,46,232533,False,instrumentalness
Some Girls - Remastered,Some Girls,1978-06-09,3pQXptTkIkOQsK3pyYlRbJ,0.527,0.474,0.938,0.52,0.299,-2.643,0.0898,71.995,0.505,43,276933,False,instrumentalness
Ventilator Blues,Exile On Main Street (2010 Re-Mastered),1972-05-12,74mpiRPDd2rFeBR1Yl60I3,0.6,0.618,0.678,0.723,0.501,-5.199,0.0316,133.453,0.79,43,204573,False,instrumentalness
Shake Your Hips,Exile On Main Street (2010 Re-Mastered),1972-05-12,3u28KPrRmJiNC39Fm3tZVe,0.69,0.374,0.787,0.831,0.203,-7.054,0.0617,180.496,0.763,43,179000,False,instrumentalness
All Down The Line,Exile On Main Street (2010 Re-Mastered),1972-05-12,5GHKbjIY0gTCqoY5aruDDc,0.39,0.519,0.973,0.978,0.784,-3.044,0.0562,140.221,0.822,42,229493,False,instrumentalness
Respectable - Remastered,Some Girls,1978-06-09,40uqC6osBbNPm4jEN3OsAl,0.123,0.452,0.99,0.884,0.0677,-2.823,0.0524,152.111,0.875,42,187440,False,instrumentalness
