id,name,album,release_date,popularity,groovy_factor,raw_energy
63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",Aftermath,1966-04-15,80,0.283968,0.26821268775000007
2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,Out Of Our Heads,1965-07-30,76,0.673113,0.095937984
7HKez549fwJQDzx3zLjHKC,Start Me Up - Remastered 2009,Tattoo You (2009 Re-Mastered),1981-08-24,76,0.6127009999999999,0.07965127368
6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,Let It Bleed,1969-12-05,76,0.310026,0.092325555
1Ud6moTC0KyXMq1Oxfien0,Sympathy For The Devil - 50th Anniversary Edition,Beggars Banquet (50th Anniversary Edition),1968-12-06,73,0.393822,0.033231490319999994
77oU2rjC5XbjQfNe3bD6so,Beast Of Burden - Remastered 1994,Some Girls,1978-06-09,72,0.692955,0.03499405968
1GcVa4jFySlun4jLSuMhiq,Angie,Goats Head Soup (Remastered 2009),1973-08-31,71,0.17460299999999998,0.052228904
3hJLKtTpgct9Y9wKww0BiR,Miss You - Remastered,Some Girls,1978-06-09,69,0.671775,0.22492061599999996
52dm9op3rbfAkc1LGXgipW,Wild Horses - 2009 Mix,Sticky Fingers (Remastered),1971-04-23,69,0.068256,0.02732375159333333
6lFZbCc7pn6Lme1NP7qQqQ,You Can't Always Get What You Want,Let It Bleed,1969-12-05,67,0.15104,0.13153756733333333
61UuPxxYUvacEH6SHIK3sU,Brown Sugar - 2009 Remaster,Sticky Fingers (Remastered),1971-04-23,66,0.609579,0.051980761279999996
5lmGgOaixbwKHtpTzjJoqx,Under My Thumb,Aftermath,1966-04-15,64,0.584868,0.035130193323333336
1hIQPCM3oWXrpnXmgTDaKG,Can't You Hear Me Knocking - 2009 Mix,Sticky Fingers (Remastered),1971-04-23,63,0.38913000000000003,0.11056641066666667
4hupcimlg3UBbW1kAQ6vrT,Ruby Tuesday,Between The Buttons,1967-01-20,63,0.27090800000000004,0.07895496210000001
4hq0S6wznq7SHDyMOFXL9i,Tumbling Dice,Exile On Main Street (2010 Re-Mastered),1972-05-12,63,0.47355,0.23760573200000004
4tXr9v3K7nWW1aebWqR1B7,Anybody Seen My Baby? - Remastered,Bridges To Babylon (Remastered),1997-09-29,61,0.28435,0.17613932373333335
4Wd9pEtEnZNDjgiswGOpJb,Waiting On A Friend - Remastered 2009,Tattoo You (2009 Re-Mastered),1981-08-24,59,0.5520660000000001,0.4055771056
3oJtUnnt5uYPtzulIbLw3D,Dead Flowers - 2009 Mix,Sticky Fingers (Remastered),1971-04-23,58,0.5027400000000001,0.12416472120000001
30V02AmDYMRvrHE4L8cZAo,Play With Fire - Mono Version,Out Of Our Heads,1965-07-30,56,0.0513842,0.06162033735000001
1LD75COdR1n8jTIjommyS2,As Tears Go By - Mono Version,December’s Children (And Everybody’s),1965-12-04,56,0.121146,0.040915970083333336
1hJrWWK74fKL7eeV3CFOvF,Sweet Virginia,Exile On Main Street (2010 Re-Mastered),1972-05-12,56,0.26712,0.17711393100000003
7EXgO1bRnEArE58rtrgMWB,Street Fighting Man - 50th Anniversary Edition,Beggars Banquet (50th Anniversary Edition),1968-12-06,56,0.40226999999999996,0.1970802645
0QVJsWtmgj9SWZaLYiX2i3,Heaven - Remastered,Tattoo You (2009 Re-Mastered),1981-08-24,55,0.073423,0.11055611699999998
